code	name	category	subcategory	price	image	colors
NB-373	Abridor de botellas con forma de jarra acero inoxidable	Sublimación y personalización	Llaveros y accesorios	₡2 500	/products/catalog-verified/nb-373/01-blanco.webp	Blanco
NB-374	Abridor de botellas grande acero inoxidable	Sublimación y personalización	Llaveros y accesorios	₡3 000	/products/catalog-verified/nb-374/01-blanco.webp	Blanco
NB-375	Abridor de botellas grande acero inoxidable 4x14cm	Sublimación y personalización	Llaveros y accesorios	₡4 000	/products/catalog-verified/nb-375/01-blanco.webp	Blanco
NB-376	Abridor de botellas metalico forma de chapa magnetico	Sublimación y personalización	Llaveros y accesorios	₡4 000	/products/catalog-verified/nb-376/01-modelo-unico.webp	
NB-377	Abridor de botellas tipo carta naipe 5.3 cm x 8.5 cm	Sublimación y personalización	Llaveros y accesorios	₡3 500	/products/catalog-verified/nb-377/01-modelo-unico.webp	
NB-289	Adorno cruz de ceramica 15x20 cm	Sublimación y personalización	Hogar y decoración	₡4 000	/products/catalog-verified/nb-289/01-modelo-unico.webp	
NB-290	Alcancia	Sublimación y personalización	Hogar y decoración	₡4 500	/products/catalog-verified/nb-290/01-modelo-unico.webp	
NB-291	Alcancia de ceramica	Sublimación y personalización	Hogar y decoración	₡5 500	/products/catalog-verified/nb-291/01-modelo-unico.webp	
NB-292	Alcancia de madera con ceramica 20x20 cm	Sublimación y personalización	Hogar y decoración	₡11 500	/products/catalog-verified/nb-292/01-modelo-unico.webp	
NB-293	Alfombra 40x60 cm	Sublimación y personalización	Hogar y decoración	₡5 000	/products/catalog-verified/nb-293/01-modelo-unico.webp	
NB-294	Alfombra rectángular 50x68cm	Sublimación y personalización	Hogar y decoración	₡12 000	/products/catalog-verified/nb-294/01-modelo-unico.webp	
NB-295	Alfombra rectángular 60x40cm	Sublimación y personalización	Hogar y decoración	₡14 500	/products/catalog-verified/nb-295/01-modelo-unico.webp	
NB-296	Alfombra rectangular 75x45cm	Sublimación y personalización	Hogar y decoración	₡20 500	/products/catalog-verified/nb-296/01-modelo-unico.webp	
NB-297	Alfombra semi circular 80x50cm	Sublimación y personalización	Hogar y decoración	₡20 500	/products/catalog-verified/nb-297/01-modelo-unico.webp	
NB-588	Babero vivo	Sublimación y personalización	Textiles y bolsos	₡2 000	/products/catalog-verified/nb-588/01-fucsia.webp	Fucsia, Lila, Rojo, Turquesa, Celeste, Rosa
NB-589	Bandana mágica multifuncional	Sublimación y personalización	Textiles y bolsos	₡3 000	/products/catalog-verified/nb-589/01-modelo-unico.webp	
NB-298	Base luminosa cuadrada con luz led 10x10x2cm	Sublimación y personalización	Hogar y decoración	₡7 500	/products/catalog-verified/nb-298/01-modelo-unico.webp	
NB-299	Base luminosa redonda con luz led 10x10x2cm	Sublimación y personalización	Hogar y decoración	₡7 500	/products/catalog-verified/nb-299/01-modelo-unico.webp	
NB-590	Billetera 18x8cm	Sublimación y personalización	Textiles y bolsos	₡18 000	/products/catalog-verified/nb-590/01-modelo-unico.webp	
NB-591	Billetera de cuero sintético grande	Sublimación y personalización	Textiles y bolsos	₡21 000	/products/catalog-verified/nb-591/01-modelo-unico.webp	
NB-592	Billetera de cuero sintético pequeñ	Sublimación y personalización	Textiles y bolsos	₡19 500	/products/catalog-verified/nb-592/01-modelo-unico.webp	
NB-300	Block de notas cuadrado	Sublimación y personalización	Hogar y decoración	₡7 000	/products/catalog-verified/nb-300/01-modelo-unico.webp	
NB-301	Block de notas rectangular	Sublimación y personalización	Hogar y decoración	₡7 000	/products/catalog-verified/nb-301/01-modelo-unico.webp	
NB-594	Bolso cambrel 18x20cm	Sublimación y personalización	Textiles y bolsos	₡1 500	/products/catalog-verified/nb-594/01-modelo-unico.webp	
NB-595	Bolso cambrel tipo sobre 25 cm x 35 cm	Sublimación y personalización	Textiles y bolsos	₡2 000	/products/catalog-verified/nb-595/01-modelo-unico.webp	
NB-596	Bolso canvas 17x20cm	Sublimación y personalización	Textiles y bolsos	₡4 500	/products/catalog-verified/nb-596/01-modelo-unico.webp	
NB-597	Bolso canvas 48x35cm	Sublimación y personalización	Textiles y bolsos	₡9 500	/products/catalog-verified/nb-597/01-modelo-unico.webp	
NB-598	Bolso compras cambrel 10x26x30cm	Sublimación y personalización	Textiles y bolsos	₡2 500	/products/catalog-verified/nb-598/01-modelo-unico.webp	
NB-599	Bolso con agarradera 34x38cm	Sublimación y personalización	Textiles y bolsos	₡10 500	/products/catalog-verified/nb-599/01-modelo-unico.webp	
NB-600	Bolso con cordón 32x40cm	Sublimación y personalización	Textiles y bolsos	₡7 000	/products/catalog-verified/nb-600/01-modelo-unico.webp	
NB-601	Bolso confitero 20x27 cm	Sublimación y personalización	Textiles y bolsos	₡2 500	/products/catalog-verified/nb-601/01-modelo-unico.webp	
